name,shape_v,shape_u,coverage,median_step,max_step,ratio,flagged,severe,edges,verdict
20250716055232-z_dbg_gen_00505_inp_hr,544,375,0.5621,19.96,260.2,13.04,1639,150,228021,REVIEW
20250716055229-z_dbg_gen_00371_inp_hr,554,202,0.6694,19.97,260.2,13.03,666,177,148631,REVIEW
20250716055232-z_dbg_gen_00505_inp_hr,1059,731,0.5554,19.95,259.5,13.01,5809,444,857180,REVIEW
20250716055229-z_dbg_gen_00371_inp_hr,1078,394,0.6578,19.95,259.4,13.0,2276,556,556283,REVIEW
20250716055229-z_dbg_gen_00371_inp_hr,256,94,0.6565,19.93,258.2,12.95,100,22,30999,REVIEW
20260306000001-w051_2026030600,379,480,0.902,19.96,255.8,12.81,14,10,327234,REVIEW
20251115002740-auto_grown_20251115002740308_0_flatboi,557,2462,0.9166,20.01,255.6,12.77,29,11,2509733,REVIEW
20251115002740-auto_grown_20251115002740308_0_flatboi,555,2460,0.9203,20.01,255.5,12.77,28,11,2508937,REVIEW
20251001060526-auto_grown_20251001060526760,236,1234,0.3325,20.04,250.6,12.5,16,10,188102,SPARSE
20250611154256-z_dbg_gen_00354_inp_hr,579,385,0.592,19.92,245.6,12.33,1856,512,262494,REVIEW
20250611154256-z_dbg_gen_00354_inp_hr,268,178,0.5848,19.87,244.6,12.31,342,74,55083,REVIEW
20250611154256-z_dbg_gen_00354_inp_hr,1127,750,0.5853,19.91,244.6,12.28,6696,1608,986344,REVIEW
20260701183132-w073-076,1003,2176,0.8505,20.0,245.0,12.25,20,2,3708060,REVIEW
20251001060526-auto_grown_20251001060526760,1953,10212,0.3134,20.04,244.9,12.22,1058,377,12454886,SPARSE
20250716055228-z_dbg_gen_00333_inp_hr,298,239,0.6973,19.93,242.8,12.19,698,64,98451,REVIEW
20250716055228-z_dbg_gen_00333_inp_hr,580,466,0.6848,19.9,242.4,12.18,2362,200,368382,REVIEW
20260220000000-w053_2026022021,1448,2016,0.8618,20.0,243.5,12.18,194,36,5027564,REVIEW
20250611133823-z_dbg_gen_00130_inp_hr,582,195,0.5683,19.95,242.5,12.15,1048,139,128009,REVIEW
20250611133823-z_dbg_gen_00130_inp_hr,1133,380,0.5593,19.96,242.2,12.13,3719,454,479664,REVIEW
20250611133823-z_dbg_gen_00130_inp_hr,269,90,0.5592,20.0,242.1,12.1,187,18,26613,REVIEW
20250716055228-z_dbg_gen_00333_inp_hr,138,111,0.683,19.85,239.3,12.06,108,9,20496,REVIEW
20251001060526-auto_grown_20251001060526760,918,4800,0.3133,20.04,240.4,11.99,207,75,2739784,SPARSE
20260701183131-w069-072,921,2063,0.9236,19.98,239.0,11.96,3,2,3505411,REVIEW
20250716055232-z_dbg_gen_00505_inp_hr,251,174,0.5553,19.98,236.0,11.81,289,16,47866,REVIEW
20260310000000-w037_2026031015,449,316,0.3673,27.97,326.1,11.66,32,9,103755,SPARSE
20260701183124-w010-027,766,1691,0.9783,25.1,291.2,11.6,1662,30,2531288,REVIEW
20250611153346-z_dbg_gen_00286_inp_hr,214,140,0.7388,19.96,231.2,11.58,183,18,43723,REVIEW
20260701183125-w028-037,766,1626,0.9775,26.38,296.5,11.24,1934,63,2432169,REVIEW
20250831000000-w040_2025083102,615,431,0.4021,20.15,221.3,10.99,43,5,212458,SPARSE
20251226000000-w055_2025122611,375,507,0.8578,20.01,219.7,10.98,13,2,325207,REVIEW
20260701183132-w073-076,4012,8704,0.8484,19.99,217.2,10.87,163,3,59238360,REVIEW
20260206000002-w054_2026020617,3165,4612,0.6284,19.97,210.8,10.56,185,28,18339404,REVIEW
20260206000002-w054_2026020617,1493,2175,0.6906,19.96,209.3,10.49,38,6,4481729,REVIEW
20251115002745-auto_grown_20251115002740308_5_flatboi,639,3067,0.9046,20.03,209.6,10.46,4,1,3541387,REVIEW
20251115002745-auto_grown_20251115002740308_5_flatboi,637,3065,0.9077,20.03,209.6,10.46,4,1,3539971,REVIEW
20251226000000-w055_2025122611,539,747,0.4094,20.11,208.1,10.35,30,1,328778,SPARSE
20250925222237-auto_grown_20250925222237459,196,595,0.4403,20.05,207.4,10.34,13,1,99960,SPARSE
20250925222237-auto_grown_20250925222237459,1622,4924,0.4169,20.05,205.9,10.27,689,7,6636509,SPARSE
20260220000000-w053_2026022021,372,518,0.8602,20.0,204.1,10.21,10,1,330539,REVIEW
20250925212701-auto_grown_20250925212701145,794,1342,0.4479,20.01,202.9,10.14,16,12,946107,SPARSE
20250925212701-auto_grown_20250925212701145,1688,2855,0.4483,20.01,202.9,10.14,72,72,4302823,SPARSE
20250925212701-auto_grown_20250925212701145,204,345,0.4792,20.01,202.9,10.14,2,2,65273,SPARSE
20251226000000-w055_2025122611,1505,2035,0.6988,19.97,201.2,10.07,81,2,4276597,REVIEW
20250925222237-auto_grown_20250925222237459,763,2315,0.4168,20.04,197.5,9.86,153,0,1462040,SPARSE
20251226000000-w055_2025122611,1500,2028,0.8527,19.99,194.1,9.71,121,0,5183792,WATCH
20250108000000-w025_2025010863,365,348,0.7962,20.42,195.2,9.56,4,1,201588,REVIEW
20251220015639-w6_20251220015639809,920,705,0.1342,20.47,195.3,9.54,250,0,173178,SPARSE
20250926122938-w082_20250926122938619_flatboi,721,587,0.7324,19.5,179.8,9.22,2,0,618159,WATCH
20260701183138-w095-097,204,457,0.8646,19.94,180.3,9.04,27,0,160404,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,628,9204,0.76,21.61,190.7,8.83,14,0,8755112,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,709,9205,0.6752,21.61,190.7,8.82,14,0,8796360,WATCH
20250926112011-w078_20250926112011918_flatboi,695,629,0.8119,19.77,172.1,8.7,1409,0,708146,WATCH
20250919125302-auto_grown_20250919055302061,312,270,0.6393,20.36,172.8,8.49,4,0,105726,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,2061,30097,0.7546,21.61,180.3,8.35,90,0,93516268,WATCH
20260612121456-w011_20260108140509268_merged_v4_flatboi_straightened_v4,1517,22090,0.7545,21.6,180.3,8.35,42,0,50489691,WATCH
20260701183136-w089-091,203,430,0.8737,19.89,162.6,8.17,6,0,151738,WATCH
20260623145652-w059-063,615,2165,0.9032,20.56,165.9,8.07,11,0,2401795,WATCH
20260623145652-w059-063,613,2163,0.9044,20.56,165.9,8.07,11,0,2394932,WATCH
20260623145652-w059-063,5208,18377,0.9011,20.55,165.6,8.06,605,0,172456768,WATCH
20260623145652-w059-063,2452,8652,0.9018,20.55,162.3,7.9,119,0,38251632,WATCH
20260701183133-w077-080,207,487,0.8668,19.89,157.0,7.89,6,0,173841,WATCH
20251226000000-w055_2025122611,3191,4315,0.6356,19.98,156.0,7.81,118,0,17496211,WATCH
20250926112011-w078_20250926112011918_flatboi,685,625,0.8251,19.74,153.7,7.78,1348,0,704750,WATCH
20251115002748-auto_grown_20251115002740308_8_flatboi,627,1859,0.9441,20.02,154.6,7.72,2,0,2198166,WATCH
20260603222816-20231005123336_v2_flatboi,727,811,0.8986,20.05,154.5,7.71,8,0,1058040,WATCH
20251226000000-w055_2025122611,386,521,0.8513,19.97,144.5,7.24,4,0,341396,WATCH
20260701183134-w081-084,208,514,0.8683,19.92,143.6,7.21,7,0,184691,WATCH
20251115002743-auto_grown_20251115002740308_3_flatboi,648,2878,0.8892,20.01,138.6,6.93,2,0,3312402,WATCH
20251115002743-auto_grown_20251115002740308_3_flatboi,650,2880,0.8861,20.01,138.6,6.93,2,0,3313424,WATCH
20260623145652-w059-063,752,2658,0.874,20.54,134.7,6.56,6,0,3490176,WATCH
20260206000002-w054_2026020617,555,763,0.4099,20.33,128.4,6.32,1,0,346289,SPARSE
20260701183128-w053-058,3660,9244,0.9377,20.57,129.3,6.28,146,0,63434000,WATCH
20260701183128-w053-058,915,2311,0.94,20.6,129.3,6.28,18,0,3970620,WATCH
20260701183127-w046-052,937,2435,0.9096,20.12,124.2,6.17,5,0,4145567,WATCH
20260701183139-w098-100,204,466,0.8644,19.97,123.1,6.16,4,0,163514,WATCH
20260701183137-w092-094,201,445,0.8794,19.9,121.2,6.09,5,0,156513,WATCH
20260701183127-w046-052,3748,9740,0.9074,20.1,121.2,6.03,58,0,66230308,WATCH
20251220012955-w7_20251220012955200,698,492,0.2221,20.45,121.8,5.96,22,0,151679,SPARSE
20260623144957-w053-058,610,2335,0.9124,20.22,119.5,5.91,3,0,2595532,WATCH
20260623144957-w053-058,608,2333,0.9159,20.22,119.5,5.91,3,0,2594663,WATCH
20260623144957-w053-058,5166,19821,0.9128,20.22,115.6,5.72,119,0,186911661,WATCH
20260116230000-w035_2026011623_flatboi,566,511,0.7196,19.92,113.2,5.68,1,0,415003,WATCH
20260221022814-auto_grown_20260220174252405,1078,613,0.0777,19.95,111.4,5.58,2,0,101783,SPARSE
20260623144957-w053-058,2432,9332,0.9133,20.21,112.0,5.54,24,0,41441590,WATCH
20260321025901-MAN5_outer_3,1206,1495,0.8555,19.58,104.5,5.34,1,0,3081837,WATCH
20251115002748-auto_grown_20251115002740308_8_flatboi,637,1867,0.9218,20.03,105.5,5.27,1,0,2189914,WATCH
20260623144957-w053-058,746,2866,0.8851,20.22,106.3,5.26,1,0,3780422,WATCH
20260119120000-w036_2026011912_flatboi,608,515,0.6524,19.88,104.3,5.25,1,0,407126,WATCH
20250611153340-z_dbg_gen_00275,199,119,0.3772,19.99,103.2,5.16,3,0,16951,SPARSE
20260701183129-w059-063,923,2200,0.9293,20.12,102.2,5.08,1,0,3769620,WATCH
20260701183129-w059-063,3692,8800,0.9271,20.11,101.6,5.05,6,0,60224944,WATCH
20260701183135-w085-088,207,540,0.8671,19.92,99.3,4.98,1,0,192890,OK
20260105050000-w032_2026010505_flatboi,586,512,0.7526,19.85,98.6,4.97,0,0,450208,OK
20260623141649-w053-058_jordi,613,2327,0.911,20.0,95.0,4.75,0,0,2595301,OK
20260623141649-w053-058_jordi,611,2325,0.9122,20.0,95.0,4.75,0,0,2588103,OK
20250831000000-w040_2025083102,311,388,0.87,20.03,94.5,4.72,0,0,209180,OK
20260701183126-w038-045,936,2299,0.9058,20.14,94.6,4.7,0,0,3893722,OK
20260623141649-w053-058_jordi,5191,19753,0.9092,19.99,93.8,4.69,0,0,186416668,OK
20251218212128-w4_20251218212128406,1310,1039,0.1164,20.37,95.0,4.66,0,0,315762,SPARSE
20260623141649-w053-058_jordi,2444,9300,0.9097,19.99,92.0,4.6,0,0,41339368,OK
20260306000000-w038_2026030608,456,321,0.3779,27.59,126.7,4.59,0,0,110137,SPARSE
20260115160000-w034_2026011516_flatboi,552,505,0.6966,19.94,90.8,4.55,0,0,387121,OK
20250926113336-w079_20250926113336891_flatboi,731,794,0.5938,19.92,89.9,4.51,0,0,687390,OK
20260227000000-w052_2026022705,581,787,0.3595,20.51,92.2,4.5,0,0,327923,SPARSE
20260701183126-w038-045,3744,9196,0.9037,20.13,90.3,4.49,0,0,62213016,OK
20250926132117-w083_20250926132117595_flatboi,696,592,0.7582,19.66,87.2,4.44,0,0,623129,OK
20250831000000-w040_2025083102,2646,3302,0.7327,20.03,87.6,4.37,0,0,12798135,OK
20260701183125-w028-037,895,2183,0.9417,20.23,87.7,4.34,0,0,3675606,OK
20260701183126-w038-045,1148,2825,0.6279,20.19,87.3,4.32,0,0,4067982,OK
20250831000000-w040_2025083102,1248,1557,0.8106,20.02,85.6,4.27,0,0,3147418,OK
20260123230000-w037_2026012323_flatboi,523,491,0.6611,19.91,84.8,4.26,0,0,338330,OK
20250108000000-w025_2025010863,354,331,0.8347,20.01,84.9,4.24,0,0,194850,OK
20250108000000-w025_2025010863,3012,2817,0.5971,20.0,84.8,4.24,0,0,10128072,OK
20250108000000-w025_2025010863,1416,1324,0.8282,20.0,84.7,4.24,0,0,3102316,OK
20250108000000-w025_2025010863,1421,1329,0.6587,20.0,84.7,4.24,0,0,2485453,OK
20260604223808-20231210121321_v8,180,123,0.9125,20.08,84.7,4.22,0,0,40092,OK
20250831000000-w040_2025083102,1244,1552,0.8635,20.02,84.5,4.22,0,0,3331316,OK
20260623141649-w053-058_jordi,750,2857,0.8812,19.99,84.2,4.21,0,0,3772230,OK
20251106133152-w077_20251106133152767_flatboi,817,597,0.6848,19.89,82.1,4.13,0,0,666231,OK
20260701183130-w064-068,925,2403,0.9234,19.98,81.7,4.09,0,0,4100292,OK
20260701183125-w028-037,3580,8732,0.9396,20.21,82.4,4.08,0,0,58727592,OK
20260116230000-w035_2026011623_flatboi,559,498,0.7423,19.91,81.1,4.07,0,0,412022,OK
20260701183125-w028-037,1098,2682,0.648,20.25,82.4,4.07,0,0,3812654,OK
20260116230000-w035_2026011623_flatboi,3921,3436,0.6117,19.92,80.8,4.06,0,0,16471726,OK
20251204101314-w092_20251204101314959_flatboi,684,640,0.6626,19.97,80.7,4.04,0,0,578367,OK
20260116230000-w035_2026011623_flatboi,1350,1196,0.7378,19.88,80.3,4.04,0,0,2379503,OK
20251217233843-w1_20251217233843496,877,840,0.2614,20.13,81.1,4.03,0,0,383842,SPARSE
20251222223312-w7_20251222223312675,352,224,0.4326,20.93,84.2,4.02,0,0,67696,SPARSE
20260604223808-20231210121321_v8,1046,718,0.5819,20.08,80.0,3.98,0,0,872682,OK
20251218212713-w5_20251218212713988,917,718,0.2184,20.52,80.4,3.92,0,0,286515,SPARSE
20260302000001-w050_2026030220,262,176,0.9518,20.66,80.9,3.92,0,0,87342,OK
20260220000000-w053_2026022021,561,767,0.3752,20.48,79.7,3.89,0,0,321977,SPARSE
20260701183130-w064-068,3700,9612,0.9213,19.97,77.7,3.89,0,0,65513476,OK
20260115000001-w056_2026011514,349,474,0.8792,20.0,76.9,3.84,0,0,289976,OK
20260115000001-w056_2026011514,2969,4034,0.6707,19.98,76.2,3.81,0,0,16060046,OK
20260116230000-w035_2026011623_flatboi,1834,1628,0.7378,19.9,75.8,3.81,0,0,4401585,OK
20251218010446-w0_20251218010446110,765,689,0.3162,20.17,75.1,3.72,0,0,332288,SPARSE
20260115000001-w056_2026011514,1401,1902,0.7288,19.97,74.2,3.71,0,0,3880706,OK
20260701183124-w010-027,872,2125,0.9541,20.0,73.0,3.65,0,0,3531836,OK
20260126000000-w045_2026012619,676,490,0.3316,19.57,71.4,3.65,0,0,218932,SPARSE
20260325000000-w046_20260325,684,498,0.3224,19.61,71.4,3.64,0,0,218932,SPARSE
20251218211706-w3_20251218211706689,1135,852,0.1679,20.33,73.4,3.61,0,0,323625,SPARSE
20260115160000-w034_2026011516_flatboi,547,496,0.7105,19.92,71.9,3.61,0,0,384269,OK
20260115000001-w056_2026011514,1396,1896,0.8737,19.99,71.0,3.55,0,0,4621328,OK
20250831000000-w040_2025083102,320,399,0.8619,20.01,70.9,3.54,0,0,219303,OK
20260128140000-w038_2026012814_flatboi,545,514,0.6545,19.84,70.0,3.53,0,0,365425,OK
20250919125302-auto_grown_20250919055302061,309,258,0.642,20.04,70.6,3.52,0,0,100224,OK
20260115160000-w034_2026011516_flatboi,1320,1191,0.706,19.9,69.8,3.51,0,0,2216832,OK
20260701183124-w010-027,3488,8500,0.9519,19.99,70.1,3.51,0,0,56428064,OK
20251211152543-w053_20251211152543204_flatboi,531,629,0.8916,20.03,69.3,3.46,0,0,594330,OK
20260306000001-w051_2026030600,601,807,0.3355,20.52,70.7,3.45,0,0,324551,SPARSE
20260115160000-w034_2026011516_flatboi,3838,3421,0.5812,19.91,68.5,3.44,0,0,15250826,OK
20251204192708-w093_20251204192708445_flatboi,753,865,0.4558,19.94,67.9,3.41,0,0,591429,SPARSE
20250108000000-w025_2025010863,364,340,0.8265,20.0,66.9,3.34,0,0,203795,OK
20250919125302-auto_grown_20250919055302061,1113,929,0.6149,20.03,66.7,3.33,0,0,1263704,OK
20260623143441-w038-045,594,2317,0.9082,20.01,66.6,3.33,0,0,2473938,OK
20260623143441-w038-045,596,2319,0.9194,20.01,66.6,3.33,0,0,2537835,OK
20251211152543-w053_20251211152543204_flatboi,530,617,0.9058,20.03,65.7,3.28,0,0,591067,OK
20260623143441-w038-045,5047,19685,0.8874,20.01,65.4,3.27,0,0,176087763,OK
20260623143441-w038-045,729,2847,0.8606,20.0,65.1,3.25,0,0,3538734,OK
20260623144957-w053-058,128,492,0.9131,20.17,65.4,3.24,0,0,114281,OK
20260623141649-w053-058_jordi,129,491,0.9105,19.93,64.6,3.24,0,0,114615,OK
20260115160000-w034_2026011516_flatboi,1795,1622,0.706,19.9,63.4,3.19,0,0,4106825,OK
20251204101314-w092_20251204101314959_flatboi,677,628,0.6774,19.97,62.9,3.15,0,0,574352,OK
20250926150345-w086_20250926150345176_flatboi,631,484,0.8627,19.99,62.7,3.13,0,0,525501,OK
20260115000001-w056_2026011514,511,722,0.4132,19.94,62.3,3.13,0,0,304005,SPARSE
20260623151729-w073-076,616,2193,0.8951,19.96,62.3,3.12,0,0,2414873,OK
20260623151729-w073-076,614,2191,0.8987,19.96,62.3,3.12,0,0,2414442,OK
20260623143441-w038-045,2376,9268,0.888,20.0,62.3,3.12,0,0,38996900,OK
20260128140000-w038_2026012814_flatboi,536,503,0.6746,19.8,61.6,3.11,0,0,362519,OK
20260623145652-w059-063,129,456,0.9022,20.5,63.6,3.1,0,0,105460,OK
20260701183129-w059-063,195,464,0.9272,20.04,61.8,3.08,0,0,166932,OK
20260623151729-w073-076,5217,18615,0.8956,19.95,61.2,3.07,0,0,173926965,OK
20260127000000-w057_2026012713,541,756,0.4035,19.65,60.2,3.07,0,0,329197,SPARSE
20230929220926,497,1168,0.8676,19.87,60.7,3.06,0,0,1005225,OK
20260623150417-w064-068,618,2395,0.899,20.11,61.4,3.05,0,0,2657542,OK
20260623150417-w064-068,616,2393,0.9023,20.11,61.4,3.05,0,0,2656504,OK
20260623150417-w064-068,5234,20331,0.8993,20.1,61.3,3.05,0,0,191354497,OK
20260128140000-w038_2026012814_flatboi,1759,1645,0.67,19.78,60.2,3.04,0,0,3873674,OK
20260623151729-w073-076,2456,8764,0.8961,19.95,60.7,3.04,0,0,38562462,OK
20250919131352-auto_grown_20250919061352722_inp_hr,378,300,0.7511,20.67,62.8,3.04,0,0,169704,OK
20260701183131-w069-072,3684,8252,0.9214,19.96,60.6,3.04,0,0,56005220,OK
20260318000000-w049_20260318,746,555,0.2784,20.45,62.0,3.03,0,0,229807,SPARSE
20250926114310-w080_20250926114310705_flatboi,624,571,0.7632,19.8,60.0,3.03,0,0,542219,OK
20250926113336-w079_20250926113336891_flatboi,726,819,0.5757,19.92,60.3,3.03,0,0,682576,OK
20250926132117-w083_20250926132117595_flatboi,697,581,0.7663,19.63,58.9,3.0,0,0,618963,OK
20260112000000-w043_2026011217,644,453,0.3733,19.72,59.1,2.99,0,0,217118,SPARSE
20251222204911-w6_20251222204911527,360,224,0.5828,20.93,62.6,2.99,0,0,93464,OK
20260128140000-w038_2026012814_flatboi,3761,3472,0.5759,19.82,58.7,2.96,0,0,15031324,OK
20250108000001-w026_2025010854,1554,1500,0.0501,20.11,59.5,2.96,0,0,232835,SPARSE
20260130150000-w039_2026013015_flatboi,549,511,0.6749,19.85,57.9,2.92,0,0,377408,OK
20260603193311-5753_-1_copy,1056,200,0.5521,20.08,58.3,2.9,0,0,231267,OK
20260603005223-5753_-1,1056,200,0.6459,20.1,58.3,2.9,0,0,271404,OK
20260108140509-w011_20260108140509268_flatboi,605,244,0.7492,19.92,57.2,2.87,0,0,220102,OK
20260623150417-w064-068,2464,9572,0.8998,20.1,57.6,2.87,0,0,42429642,OK
20250919135433-auto_grown_20250919065433578_inp_hr,360,348,0.7336,20.31,57.9,2.85,0,0,183132,OK
20260128140000-w038_2026012814_flatboi,1294,1208,0.67,19.76,55.7,2.82,0,0,2091724,OK
20260105050000-w032_2026010505_flatboi,1400,1206,0.7641,19.79,55.7,2.82,0,0,2577165,OK
20260603024952-5753_-2,1023,161,0.7876,20.07,56.5,2.81,0,0,258040,OK
20260105050000-w032_2026010505_flatboi,580,502,0.7689,19.83,55.8,2.81,0,0,446375,OK
20260105050000-w032_2026010505_flatboi,4070,3463,0.5777,19.85,55.8,2.81,0,0,16275371,OK
20260119120000-w036_2026011912_flatboi,608,507,0.6577,19.85,55.4,2.79,0,0,404056,OK
20251219211451-w8_20251219211451561,233,226,0.3076,20.14,55.8,2.77,0,0,32102,SPARSE
20260623144224-w046-052,604,2412,0.9149,20.15,55.8,2.77,0,0,2661916,OK
20260623144224-w046-052,602,2410,0.9185,20.15,55.8,2.77,0,0,2661242,OK
20251111151836-w069_20251111151836406_flatboi,810,876,0.7957,19.96,55.3,2.77,0,0,1127286,OK
20260623151729-w073-076,753,2692,0.8696,19.94,54.8,2.75,0,0,3521512,OK
20250223000000-w059_2025022312,570,792,0.3582,19.19,52.5,2.74,0,0,322488,SPARSE
20260105050000-w032_2026010505_flatboi,1903,1641,0.7642,19.82,54.2,2.74,0,0,4768780,OK
20260115000000-w044_2026011522,659,464,0.36,19.59,53.6,2.73,0,0,219452,SPARSE
20260130150000-w039_2026013015_flatboi,550,509,0.6703,19.82,52.9,2.67,0,0,374077,OK
20260623144224-w046-052,5115,20475,0.9154,20.14,53.7,2.67,0,0,191699607,OK
20260119120000-w036_2026011912_flatboi,1995,1658,0.6531,19.83,52.8,2.66,0,0,4316322,OK
20260219000000-w033_2026021913,2426,2366,0.0209,20.11,53.3,2.65,0,0,239202,SPARSE
20250919124917-auto_grown_20250919054917419_inp_hr,372,198,0.7056,20.27,53.7,2.65,0,0,103416,OK
20231012184424,789,1169,0.892,19.97,52.9,2.65,0,0,1643226,OK
20260119120000-w036_2026011912_flatboi,4267,3497,0.5516,19.86,52.5,2.65,0,0,16449432,OK
20260623150417-w064-068,756,2940,0.8728,20.1,52.8,2.63,0,0,3875696,OK
20260130150000-w039_2026013015_flatboi,3858,3512,0.5775,19.87,52.1,2.62,0,0,15638061,OK
20250926051122-auto_grown_20250926051122829,258,2598,0.3563,21.43,56.2,2.62,0,0,466020,SPARSE
20260221022814-auto_grown_20260220174252405,4204,2389,0.0719,19.88,52.1,2.62,0,0,1441476,SPARSE
20260206000000-w042_2026020613,638,450,0.3597,19.98,52.2,2.61,0,0,205889,SPARSE
20260311000000-w023_202603112281,414,398,0.5423,21.18,55.2,2.61,0,0,178060,OK
20260130150000-w039_2026013015_flatboi,1805,1664,0.6659,19.8,51.6,2.61,0,0,3996418,OK
20260130150000-w039_2026013015_flatboi,1328,1223,0.6643,19.76,51.1,2.59,0,0,2154828,OK
20260215000000-w024_2026021572,376,360,0.6925,20.89,53.9,2.58,0,0,186815,OK
20231221180251,496,650,0.9068,19.94,51.3,2.57,0,0,583373,OK
20260603222816-20231005123336_v2_flatboi,125,139,0.9038,20.04,51.0,2.55,0,0,31135,OK
20260602225659-5753_0,1066,223,0.6,20.38,51.2,2.51,0,0,283989,OK
20250925204843-auto_grown_20250925204843950,204,1608,0.4061,21.66,54.2,2.5,0,0,260028,SPARSE
20260623144224-w046-052,2408,9640,0.9159,20.14,50.4,2.5,0,0,42505520,OK
20260701183127-w046-052,198,514,0.9073,20.02,49.9,2.49,0,0,183726,OK
20250926122938-w082_20250926122938619_flatboi,716,576,0.7454,19.49,48.5,2.49,0,0,613118,OK
20251204060522-w090_20251204060522416_flatboi,654,622,0.6994,19.99,49.6,2.48,0,0,567457,OK
20251115002747-auto_grown_20251115002740308_7_flatboi,614,2819,0.8776,20.03,49.4,2.47,0,0,3033661,OK
20251115002747-auto_grown_20251115002740308_7_flatboi,612,2817,0.8808,20.03,49.4,2.47,0,0,3032561,OK
20260623165742-w120-121,607,1703,0.8778,19.97,49.1,2.46,0,0,1812096,OK
20260623165742-w120-121,609,1705,0.8743,19.97,49.1,2.46,0,0,1812768,OK
20260210000000-w058_2026021020,560,779,0.3823,19.26,46.9,2.43,0,0,332597,SPARSE
20260602204401-5753_-7,995,124,0.5515,20.02,48.6,2.43,0,0,134506,OK
20260108000000-w041_2026010816,631,443,0.3874,19.96,48.3,2.42,0,0,215880,SPARSE
20260603005223-5753_-1,1011,195,0.6821,20.08,48.5,2.42,0,0,267493,OK
20260623165742-w120-121,5157,14469,0.8748,19.96,48.1,2.41,0,0,130524085,OK
20250917143559-w062_20250917143559205_flatboi,631,709,0.8692,20.01,48.0,2.4,0,0,776068,OK
20260219000001-w048_2026021912,714,523,0.2892,20.1,47.5,2.37,0,0,215329,SPARSE
20260119120000-w036_2026011912_flatboi,1468,1217,0.6511,19.83,46.8,2.36,0,0,2322925,OK
20260623142658-w028-037,582,2212,0.9348,19.99,47.0,2.35,0,0,2403285,OK
20260623142658-w028-037,580,2210,0.9386,19.99,47.0,2.35,0,0,2402677,OK
20260115000001-w056_2026011514,359,487,0.8713,19.97,46.8,2.34,0,0,303735,OK
20260623142658-w028-037,4928,18776,0.9352,19.98,46.7,2.34,0,0,173028532,OK
20250926145427-w084_20250926145427439_flatboi,498,604,0.6786,19.96,46.6,2.33,0,0,406913,OK
20260623142658-w028-037,712,2715,0.9069,19.96,46.6,2.33,0,0,3502374,OK
20260623141924-w010-027,564,2129,0.9506,19.98,46.6,2.33,0,0,2279474,OK
20260623141924-w010-027,562,2127,0.9547,19.98,46.6,2.33,0,0,2279169,OK
20260623163339-w110-112,629,2405,0.863,19.95,46.5,2.33,0,0,2607333,OK
20260623163339-w110-112,627,2403,0.8662,19.95,46.5,2.33,0,0,2606497,OK
20250922024644-0500P2-wrap11_0919,82,112,0.5828,18.42,42.8,2.32,0,0,10515,OK
20260108140509-w011_20260108140509268_flatboi,602,225,0.8057,19.9,46.2,2.32,0,0,217189,OK
20251111151836-w069_20251111151836406_flatboi,818,873,0.7872,19.97,46.2,2.31,0,0,1122338,OK
20250919140325-auto_grown_20250919070325767_inp_hr,372,252,0.7459,20.42,47.1,2.31,0,0,139254,OK
20260701183126-w038-045,198,485,0.9037,20.06,46.1,2.3,0,0,172752,OK
20260623142658-w028-037,2320,8840,0.9359,19.98,45.9,2.3,0,0,38374100,OK
20260623141924-w010-027,4775,18070,0.9509,19.97,45.8,2.29,0,0,164073978,OK
20260303000000-w034_2026030317,2430,2370,0.0205,20.37,46.6,2.29,0,0,235049,SPARSE
20250502183421-auto_grown_20250502161744358,159,220,0.5423,20.0,45.6,2.28,0,0,37072,OK
20260108140509-w011_20260108140509268_flatboi,1975,736,0.7977,19.88,45.3,2.28,0,0,2315782,OK
20260623165742-w120-121,2428,6812,0.8752,19.95,45.3,2.27,0,0,28940644,OK
20260108140509-w011_20260108140509268_flatboi,4224,1552,0.5787,19.91,45.2,2.27,0,0,7582179,OK
20260603185441-5753_-6,1010,139,0.6866,20.06,45.4,2.26,0,0,191297,OK
20260623144224-w046-052,739,2961,0.8871,20.14,45.5,2.26,0,0,3877948,OK
20260623141924-w010-027,2248,8508,0.952,19.97,44.9,2.25,0,0,36401218,OK
20260603005223-5753_-1,4044,780,0.6747,20.07,45.0,2.24,0,0,4250672,OK
20260108140509-w011_20260108140509268_flatboi,1453,540,0.7978,19.9,44.3,2.23,0,0,1249454,OK
20260317000000-w035_2026031718,441,311,0.2572,28.66,63.7,2.22,0,0,70156,SPARSE
20250223000000-w059_2025022312,351,487,0.8683,20.02,44.3,2.21,0,0,295915,OK
20260316000000-w036_2026031607,443,312,0.3537,28.27,62.3,2.2,0,0,97307,SPARSE
20231005123336,548,1493,0.8664,19.91,43.8,2.2,0,0,1415484,OK
20260623155240-w092-094,623,2130,0.876,19.98,43.7,2.19,0,0,2321564,OK
20260623155240-w092-094,621,2128,0.8795,19.98,43.7,2.19,0,0,2321039,OK
20260623153216-w081-084,619,2453,0.8958,19.97,43.6,2.18,0,0,2716535,OK
20260623153216-w081-084,621,2455,0.8925,19.97,43.6,2.18,0,0,2717306,OK
